FoS,days,distance_m_from_calib_to_test_point,day_of_failure,anomalous_failure
77.607376,0,357.156558122185,167.0,False
77.607376,1,,,
77.55195,2,,,
77.09559,3,,,
77.15842,4,,,
59.063297,5,,,
69.30705,6,,,
71.19829,7,,,
72.19853,8,,,
72.83632,9,,,
73.28867,10,,,
73.07265,11,,,
73.012474,12,,,
73.44961,13,,,
55.579575,14,,,
64.05817,15,,,
67.18144,16,,,
68.45706,17,,,
68.298134,18,,,
51.251984,19,,,
43.776928,20,,,
38.03221,21,,,
51.2727,22,,,
53.838875,23,,,
38.61575,24,,,
48.94906,25,,,
50.75643,26,,,
41.57365,27,,,
46.511612,28,,,
50.87626,29,,,
49.02576,30,,,
34.732903,31,,,
28.333681,32,,,
28.947397,33,,,
21.61802,34,,,
35.41615,35,,,
36.905655,36,,,
37.943558,37,,,
42.269802,38,,,
43.695812,39,,,
27.534357,40,,,
37.56047,41,,,
23.285164,42,,,
27.79714,43,,,
35.632885,44,,,
38.646774,45,,,
40.867474,46,,,
42.55775,47,,,
43.94388,48,,,
44.90291,49,,,
45.90332,50,,,
28.660368,51,,,
21.437386,52,,,
33.487976,53,,,
37.458332,54,,,
39.77263,55,,,
41.46646,56,,,
42.605183,57,,,
25.584925,58,,,
36.509537,59,,,
21.137825,60,,,
32.933662,61,,,
35.948,62,,,
31.036682,63,,,
22.019447,64,,,
31.518255,65,,,
30.808578,66,,,
35.038326,67,,,
35.014435,68,,,
36.65087,69,,,
38.610558,70,,,
39.854446,71,,,
40.881844,72,,,
41.565052,73,,,
41.938942,74,,,
42.98536,75,,,
43.71563,76,,,
44.362755,77,,,
44.95411,78,,,
45.501514,79,,,
46.012566,80,,,
46.4672,81,,,
28.66569,82,,,
21.023575,83,,,
26.214476,84,,,
22.218712,85,,,
12.96796,86,,,
26.012524,87,,,
29.916239,88,,,
32.384785,89,,,
34.212456,90,,,
35.668663,91,,,
36.881668,92,,,
37.86596,93,,,
20.543198,94,,,
27.541233,95,,,
30.688509,96,,,
33.692482,97,,,
35.32593,98,,,
24.03931,99,,,
32.056023,100,,,
34.033443,101,,,
30.397911,102,,,
33.11963,103,,,
35.33441,104,,,
18.298042,105,,,
28.16099,106,,,
28.194286,107,,,
31.38774,108,,,
32.852486,109,,,
30.535614,110,,,
26.088339,111,,,
13.485531,112,,,
7.227829,113,,,
20.057777,114,,,
23.955563,115,,,
8.327114,116,,,
12.216179,117,,,
19.844063,118,,,
5.3847694,119,,,
12.412266,120,,,
15.206669,121,,,
17.258133,122,,,
12.647507,123,,,
18.548805,124,,,
20.623909,125,,,
23.066895,126,,,
24.55484,127,,,
25.947803,128,,,
27.103546,129,,,
28.120306,130,,,
24.133972,131,,,
26.821629,132,,,
24.010777,133,,,
26.787235,134,,,
28.278118,135,,,
26.02316,136,,,
27.621828,137,,,
29.494745,138,,,
29.44148,139,,,
30.874208,140,,,
31.70705,141,,,
32.40838,142,,,
26.52202,143,,,
30.737782,144,,,
13.674614,145,,,
23.073341,146,,,
26.557467,147,,,
27.972055,148,,,
27.932587,149,,,
11.522583,150,,,
4.459873,151,,,
17.353127,152,,,
20.913952,153,,,
23.143314,154,,,
24.77628,155,,,
25.91245,156,,,
27.094614,157,,,
27.867487,158,,,
28.82498,159,,,
29.199112,160,,,
21.046146,161,,,
19.423656,162,,,
21.387459,163,,,
8.81974,164,,,
1.3255959,165,,,
3.2839699,166,,,
-5.11467,167,,,
7.9253464,168,,,
-2.0007973,169,,,
-9.415215,170,,,
4.298607,171,,,
8.605183,172,,,
11.467949,173,,,
13.630947,174,,,
14.904167,175,,,
3.2332535,176,,,
3.5507965,177,,,
10.845783,178,,,
13.442329,179,,,
15.307541,180,,,
16.734318,181,,,
17.864025,182,,,
19.03384,183,,,
20.019577,184,,,
20.906319,185,,,
21.716522,186,,,
22.464325,187,,,
23.156696,188,,,
23.686111,189,,,
24.367393,190,,,
23.059433,191,,,
24.175385,192,,,
25.149906,193,,,
16.007702,194,,,
11.706791,195,,,
15.03167,196,,,
19.32198,197,,,
20.98618,198,,,
18.926311,199,,,
21.783741,200,,,
22.932716,201,,,
5.5835915,202,,,
-1.7232361,203,,,
10.92905,204,,,
12.2123375,205,,,
15.613571,206,,,
8.729458,207,,,
8.534912,208,,,
14.148567,209,,,
16.22889,210,,,
14.247311,211,,,
16.788044,212,,,
18.481918,213,,,
19.607964,214,,,
13.03149,215,,,
18.04047,216,,,
13.92609,217,,,
18.118896,218,,,
19.570835,219,,,
20.617065,220,,,
21.485897,221,,,
22.2361,222,,,
22.90609,223,,,
23.516327,224,,,
24.079342,225,,,
24.604038,226,,,
25.09636,227,,,
25.561563,228,,,
26.002707,229,,,
26.42323,230,,,
26.353474,231,,,
8.733688,232,,,
19.347042,233,,,
21.604317,234,,,
8.819984,235,,,
17.66246,236,,,
19.883392,237,,,
21.287243,238,,,
22.339943,239,,,
23.195827,240,,,
23.925045,241,,,
19.037006,242,,,
22.681805,243,,,
5.5145416,244,,,
9.717827,245,,,
14.3565445,246,,,
-0.76397324,247,,,
-7.1849213,248,,,
-12.163437,249,,,
1.8598671,250,,,
-12.110611,251,,,
-1.2099228,252,,,
3.66951,253,,,
-8.940109,254,,,
-3.3090782,255,,,
-1.2375069,256,,,
3.7713127,257,,,
6.1496773,258,,,
-1.8905869,259,,,
5.041729,260,,,
6.419876,261,,,
7.8559456,262,,,
9.704063,263,,,
10.591003,264,,,
-1.2474556,265,,,
7.047554,266,,,
-8.95314,267,,,
-15.516022,268,,,
-2.2608643,269,,,
1.5957565,270,,,
4.0723724,271,,,
5.9293175,272,,,
7.4293137,273,,,
7.291271,274,,,
-9.086266,275,,,
2.2360268,276,,,
3.7712364,277,,,
4.8572617,278,,,
4.011669,279,,,
7.1309624,280,,,
8.61628,281,,,
9.766422,282,,,
10.745163,283,,,
11.610401,284,,,
10.215408,285,,,
11.32766,286,,,
9.695774,287,,,
4.794552,288,,,
-8.345062,289,,,
2.2339401,290,,,
5.8370247,291,,,
7.7964897,292,,,
9.226311,293,,,
10.373024,294,,,
-6.9258804,295,,,
-10.798668,296,,,
