time,min_depth,max_depth,failure
-9999,-9999,-9999,-9999
9.48511e+06,3.4,3.4,1
9.48601e+06,3.4,3.4,1
9.49231e+06,3.4,3.4,1
9.49321e+06,3.4,3.4,1
9.49411e+06,3.4,3.4,1
9.49592e+06,3.4,3.4,1
9.49681e+06,3.4,3.4,1
9.49771e+06,3.4,3.4,1
9.49951e+06,3.4,3.4,1
9.50132e+06,3.4,3.4,1
9.50222e+06,3.4,3.4,1
9.50491e+06,3.4,3.4,1
9.50582e+06,3.4,3.4,1
9.50672e+06,3.4,3.4,1
9.50762e+06,3.4,3.4,1
9.51031e+06,3.4,3.4,1
9.51212e+06,3.4,3.4,1
9.51302e+06,3.4,3.4,1
9.51392e+06,3.4,3.4,1
9.51482e+06,3.4,3.4,1
9.51662e+06,3.4,3.4,1
9.51752e+06,3.4,3.4,1
9.51842e+06,3.4,3.4,1
9.51932e+06,3.4,3.4,1
9.52022e+06,3.4,3.4,1
9.52112e+06,3.4,3.4,1
9.52202e+06,3.4,3.4,1
9.52382e+06,3.4,3.4,1
9.52472e+06,3.4,3.4,1
9.52652e+06,3.4,3.4,1
9.52742e+06,3.4,3.4,1
9.52922e+06,3.4,3.4,1
9.53012e+06,3.4,3.4,1
9.53102e+06,3.4,3.4,1
9.53192e+06,3.4,3.4,1
9.53372e+06,3.4,3.4,1
9.53462e+06,3.4,3.4,1
9.53552e+06,3.4,3.4,1
9.53642e+06,3.4,3.4,1
9.53732e+06,3.4,3.4,1
9.53823e+06,3.4,3.4,1
9.54002e+06,3.4,3.4,1
9.54092e+06,3.4,3.4,1
9.54182e+06,3.4,3.4,1
9.54272e+06,3.4,3.4,1
9.54363e+06,3.4,3.4,1
9.54453e+06,3.4,3.4,1
9.54542e+06,3.4,3.4,1
9.54722e+06,3.4,3.4,1
9.55533e+06,3.4,3.4,1
9.55712e+06,3.4,3.4,1
9.55892e+06,3.4,3.4,1
9.57153e+06,3.4,3.4,1
9.57242e+06,3.4,3.4,1
9.57332e+06,3.4,3.4,1
9.57872e+06,3.4,3.4,1
9.58052e+06,3.4,3.4,1
9.64083e+06,3.4,3.4,1
9.64173e+06,3.4,3.4,1
9.64442e+06,3.4,3.4,1
9.64532e+06,3.4,3.4,1
9.64623e+06,3.4,3.4,1
9.64713e+06,3.4,3.4,1
9.64803e+06,3.4,3.4,1
9.64893e+06,3.4,3.4,1
9.64982e+06,3.4,3.4,1
9.65343e+06,3.4,3.4,1
9.66423e+06,3.4,3.4,1
9.66602e+06,3.4,3.4,1
9.66873e+06,3.4,3.4,1
9.66963e+06,3.4,3.4,1
9.67053e+06,3.4,3.4,1
9.67323e+06,3.4,3.4,1
9.67413e+06,3.4,3.4,1
9.67772e+06,3.4,3.4,1
9.71913e+06,3.4,3.4,1
9.72003e+06,3.4,3.4,1
9.83343e+06,3.4,3.4,1
9.83793e+06,3.4,3.4,1
9.83883e+06,3.4,3.4,1
9.83972e+06,3.4,3.4,1
9.84063e+06,3.4,3.4,1
9.84153e+06,3.4,3.4,1
9.84333e+06,3.4,3.4,1
9.84423e+06,3.4,3.4,1
9.84603e+06,3.4,3.4,1
9.84783e+06,3.4,3.4,1
9.84963e+06,3.4,3.4,1
9.85053e+06,3.4,3.4,1
9.85143e+06,3.4,3.4,1
9.85233e+06,3.4,3.4,1
9.85413e+06,3.4,3.4,1
9.85503e+06,3.4,3.4,1
9.85683e+06,3.4,3.4,1
9.85773e+06,3.4,3.4,1
9.85863e+06,3.4,3.4,1
9.86133e+06,3.4,3.4,1
9.86224e+06,3.4,3.4,1
9.86313e+06,3.4,3.4,1
9.86583e+06,3.4,3.4,1
9.86673e+06,3.4,3.4,1
9.94233e+06,3.4,3.4,1
9.94324e+06,3.4,3.4,1
9.94414e+06,3.4,3.4,1
9.94503e+06,3.4,3.4,1
9.94593e+06,3.4,3.4,1
9.94773e+06,3.4,3.4,1
9.95494e+06,3.4,3.4,1
9.95584e+06,3.4,3.4,1
9.95673e+06,3.4,3.4,1
9.95763e+06,3.4,3.4,1
9.95944e+06,3.4,3.4,1
1.01025e+07,3.4,3.4,1
1.01034e+07,3.4,3.4,1
1.01313e+07,3.4,3.4,1
1.01331e+07,3.4,3.4,1
1.0134e+07,3.4,3.4,1
1.01349e+07,3.4,3.4,1
1.01376e+07,3.4,3.4,1
1.01403e+07,3.4,3.4,1
1.01439e+07,3.4,3.4,1
1.02627e+07,3.4,3.4,1
1.02636e+07,3.4,3.4,1
1.02645e+07,3.4,3.4,1
1.02654e+07,3.4,3.4,1
1.02663e+07,3.4,3.4,1
1.02672e+07,3.4,3.4,1
1.02681e+07,3.4,3.4,1
1.02708e+07,3.4,3.4,1
1.02744e+07,3.4,3.4,1
1.02762e+07,3.4,3.4,1
1.02771e+07,3.4,3.4,1
1.02798e+07,3.4,3.4,1
1.02852e+07,3.4,3.4,1
1.02861e+07,3.4,3.4,1
1.02924e+07,3.4,3.4,1
1.02951e+07,3.4,3.4,1
1.0296e+07,3.4,3.4,1
1.03014e+07,3.4,3.4,1
1.03023e+07,3.4,3.4,1
1.03041e+07,3.4,3.4,1
